link_id,customer_id,device_id,association_date,last_access_date,access_count,is_primary_device,link_type
LINK00000001,CUST00000001,DEV00001033,2022-04-16,2025-12-31,280,True,PRIMARY
LINK00000002,CUST00000002,DEV00000452,2025-07-04,2025-12-31,260,True,PRIMARY
LINK00000003,CUST00000003,DEV00011477,2025-12-18,2025-12-31,459,True,PRIMARY
LINK00000004,CUST00000004,DEV00005492,2025-04-18,2025-12-31,310,True,PRIMARY
LINK00000005,CUST00000005,DEV00000239,2024-07-06,2025-12-31,284,True,PRIMARY
LINK00000006,CUST00000006,DEV00024915,2025-02-13,2025-12-31,159,True,PRIMARY
LINK00000007,CUST00000007,DEV00022890,2025-04-07,2025-12-31,11,True,PRIMARY
LINK00000008,CUST00000008,DEV00019086,2025-07-22,2025-12-31,62,True,PRIMARY
LINK00000009,CUST00000009,DEV00014587,2024-07-04,2025-12-31,489,True,PRIMARY
LINK00000010,CUST00000010,DEV00023827,2024-03-27,2025-12-31,445,True,PRIMARY
LINK00000011,CUST00000011,DEV00015650,2024-07-28,2025-12-31,232,True,PRIMARY
LINK00000012,CUST00000012,DEV00002955,2025-10-20,2025-12-31,245,True,PRIMARY
LINK00000013,CUST00000013,DEV00003134,2022-08-15,2025-12-31,130,True,PRIMARY
LINK00000014,CUST00000014,DEV00009607,2024-08-30,2025-12-31,327,True,PRIMARY
LINK00000015,CUST00000015,DEV00003926,2022-07-27,2025-12-31,24,True,PRIMARY
LINK00000016,CUST00000016,DEV00002321,2023-08-12,2025-12-31,315,True,PRIMARY
LINK00000017,CUST00000017,DEV00006741,2023-05-30,2025-12-31,43,True,PRIMARY
LINK00000018,CUST00000018,DEV00019385,2024-12-23,2025-12-31,341,True,PRIMARY
LINK00000019,CUST00000019,DEV00023495,2023-04-09,2025-12-31,104,True,PRIMARY
LINK00000020,CUST00000020,DEV00005742,2025-10-20,2025-12-31,476,True,PRIMARY
LINK00000021,CUST00000021,DEV00022061,2025-03-05,2025-12-31,112,True,PRIMARY
LINK00000022,CUST00000022,DEV00017483,2023-05-13,2025-12-31,155,True,PRIMARY
LINK00000023,CUST00000023,DEV00027682,2023-10-03,2025-12-31,406,True,PRIMARY
LINK00000024,CUST00000024,DEV00026202,2024-12-21,2025-12-31,352,True,PRIMARY
LINK00000025,CUST00000025,DEV00024065,2024-10-04,2025-12-31,278,True,PRIMARY
LINK00000026,CUST00000026,DEV00000468,2024-08-02,2025-12-31,204,True,PRIMARY
LINK00000027,CUST00000027,DEV00027955,2023-01-02,2025-12-31,307,True,PRIMARY
LINK00000028,CUST00000028,DEV00015944,2024-12-27,2025-12-31,10,True,PRIMARY
LINK00000029,CUST00000029,DEV00016882,2023-06-13,2025-12-31,295,True,PRIMARY
LINK00000030,CUST00000030,DEV00002718,2025-04-09,2025-12-31,324,True,PRIMARY
LINK00000031,CUST00000031,DEV00004443,2025-05-27,2025-12-31,495,True,PRIMARY
LINK00000032,CUST00000032,DEV00002375,2024-01-12,2025-12-31,347,True,PRIMARY
LINK00000033,CUST00000033,DEV00017084,2022-11-27,2025-12-31,312,True,PRIMARY
LINK00000034,CUST00000034,DEV00009908,2024-01-23,2025-12-31,147,True,PRIMARY
LINK00000035,CUST00000035,DEV00017745,2022-09-18,2025-12-31,328,True,PRIMARY
LINK00000036,CUST00000036,DEV00010765,2025-08-24,2025-12-31,276,True,PRIMARY
LINK00000037,CUST00000037,DEV00027722,2023-05-13,2025-12-31,29,True,PRIMARY
LINK00000038,CUST00000038,DEV00022298,2025-12-11,2025-12-31,235,True,PRIMARY
LINK00000039,CUST00000039,DEV00026837,2024-01-16,2025-12-31,133,True,PRIMARY
LINK00000040,CUST00000040,DEV00014355,2025-03-02,2025-12-31,428,True,PRIMARY
LINK00000041,CUST00000041,DEV00023425,2025-05-28,2025-12-31,418,True,PRIMARY
LINK00000042,CUST00000042,DEV00020168,2023-07-17,2025-12-31,110,True,PRIMARY
LINK00000043,CUST00000043,DEV00025376,2024-04-11,2025-12-31,337,True,PRIMARY
LINK00000044,CUST00000044,DEV00008486,2025-09-02,2025-12-31,211,True,PRIMARY
LINK00000045,CUST00000045,DEV00002985,2022-07-27,2025-12-31,397,True,PRIMARY
LINK00000046,CUST00000046,DEV00027159,2023-07-20,2025-12-31,363,True,PRIMARY
LINK00000047,CUST00000047,DEV00020277,2025-12-04,2025-12-31,95,True,PRIMARY
LINK00000048,CUST00000048,DEV00000310,2024-02-16,2025-12-31,288,True,PRIMARY
