device_id,device_type,operating_system,browser_name,screen_resolution,device_language,first_seen_date,last_seen_date,device_risk_score,is_emulator,is_rooted,device_manufacturer,device_model,ip_address_last,geolocation_city,geolocation_province
DEV00000001,Android_Mobile,Android 12,Firefox,1440x900,en-ZA,2024-10-01,2024-12-26,43,False,False,Samsung,Galaxy S22,60.11.133.41,Pretoria,Gauteng
DEV00000002,Android_Mobile,Android 14,Safari,1170x2532,en-ZA,2022-08-18,2023-03-27,41,False,False,Samsung,Galaxy A34,62.250.78.105,Welkom,Free State
DEV00000003,Android_Mobile,Android 13,Chrome,1170x2532,en-ZA,2024-01-16,2024-01-16,22,False,False,Samsung,Galaxy S22,109.226.3.202,Durban,KwaZulu-Natal
DEV00000004,Android_Mobile,Android 13,Safari,1170x2532,en-ZA,2025-11-10,2025-12-24,90,False,False,Samsung,Galaxy S23,159.2.46.196,Pietermaritzburg,KwaZulu-Natal
DEV00000005,Windows_Laptop,Windows 11,Safari,1080x2400,en-ZA,2023-11-06,2024-05-21,11,False,False,Acer,Aspire,166.27.86.27,Pretoria,Gauteng
DEV00000006,iPhone_Mobile,iOS 16,Chrome,1440x900,en,2022-05-07,2025-03-26,33,False,False,Apple,iPhone 12,173.113.19.80,Johannesburg,Gauteng
DEV00000007,Android_Mobile,Android 12,Firefox,1080x2400,en-ZA,2024-07-22,2024-07-22,5,False,False,Samsung,Galaxy S23,60.46.137.57,Pretoria,Gauteng
DEV00000008,Android_Mobile,Android 13,Firefox,1170x2532,en-ZA,2024-10-31,2025-11-02,28,False,False,Samsung,Galaxy S23,113.9.128.65,Mahikeng,North West
DEV00000009,Android_Mobile,Android 13,Safari,1080x2400,en-ZA,2025-07-07,2025-10-15,5,False,False,Samsung,Galaxy A34,73.1.178.187,Paarl,Western Cape
DEV00000010,Android_Mobile,Android 12,Chrome,1440x900,en-ZA,2022-04-06,2024-02-18,20,False,False,Samsung,Galaxy A14,119.165.108.119,Durban,KwaZulu-Natal
DEV00000011,iPhone_Mobile,iOS 17,Safari,1920x1080,en-ZA,2023-08-07,2025-02-11,41,False,False,Apple,iPhone 12,84.91.167.58,Paarl,Western Cape
DEV00000012,iPhone_Mobile,iOS 15,Chrome,1080x2400,en,2024-06-02,2024-06-02,90,False,False,Apple,iPhone 12,185.174.13.88,Pretoria,Gauteng
DEV00000013,Android_Mobile,Android 12,Safari,1920x1080,en-ZA,2023-12-14,2023-12-14,55,False,False,Samsung,Galaxy A54,184.227.30.140,Tzaneen,Limpopo
DEV00000014,Android_Mobile,Android 13,Safari,1366x768,en-ZA,2025-09-25,2025-09-25,8,False,False,Samsung,Galaxy A54,239.204.51.198,Pretoria,Gauteng
DEV00000015,Android_Mobile,Android 14,Chrome,1366x768,en-ZA,2022-05-04,2022-10-07,17,False,False,Samsung,Galaxy A34,2.68.107.230,Soweto,Gauteng
DEV00000016,Android_Mobile,Android 13,Chrome,1920x1080,en-ZA,2025-07-11,2025-10-17,62,False,True,Samsung,Galaxy A14,207.40.240.215,Soweto,Gauteng
DEV00000017,iPhone_Mobile,iOS 16,Chrome,1440x900,en-ZA,2023-06-26,2024-09-30,33,False,False,Apple,iPhone 13,68.75.201.64,Paarl,Western Cape
DEV00000018,Windows_Laptop,Windows 11,Chrome,1080x2400,en-ZA,2023-07-31,2024-06-15,35,False,False,HP,Inspiron,155.184.153.196,Tzaneen,Limpopo
DEV00000019,iPhone_Mobile,iOS 15,Chrome,1440x900,en-ZA,2024-10-07,2024-12-15,47,False,False,Apple,iPhone 13,148.29.108.235,Witbank,Mpumalanga
DEV00000020,Android_Mobile,Android 14,Safari,1366x768,xh,2023-11-06,2023-11-06,44,False,False,Samsung,Galaxy S22,27.127.209.141,Mahikeng,North West
DEV00000021,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2022-03-16,2023-08-10,42,False,False,Samsung,Galaxy A54,254.110.228.94,Paarl,Western Cape
DEV00000022,Android_Tablet,Android 12,Chrome,1366x768,en-ZA,2023-07-12,2024-05-24,71,False,False,Samsung,Galaxy S22,194.222.190.171,Pretoria,Gauteng
DEV00000023,MacBook_Laptop,macOS Monterey,Safari,1920x1080,en-ZA,2025-10-31,2025-11-02,29,False,False,Apple,MacBook Pro,193.90.21.107,Stellenbosch,Western Cape
DEV00000024,Android_Mobile,Android 13,Chrome,1170x2532,en-ZA,2024-12-29,2025-05-04,11,False,False,Samsung,Galaxy A14,3.227.181.28,Pietermaritzburg,KwaZulu-Natal
DEV00000025,Android_Mobile,Android 14,Chrome,1920x1080,en-ZA,2024-12-08,2025-07-13,73,False,False,Samsung,Galaxy S22,160.84.202.105,Johannesburg,Gauteng
DEV00000026,Android_Mobile,Android 12,Safari,1366x768,en,2022-11-22,2025-03-28,36,False,False,Samsung,Galaxy A54,96.233.210.88,Gqeberha,Eastern Cape
DEV00000027,Android_Mobile,Android 14,Safari,1170x2532,af,2022-10-07,2024-11-21,84,False,False,Samsung,Galaxy A14,7.110.227.20,Pretoria,Gauteng
DEV00000028,Android_Mobile,Android 12,Chrome,1170x2532,en,2025-12-12,2025-12-12,18,False,False,Samsung,Galaxy A14,252.126.19.25,Johannesburg,Gauteng
DEV00000029,Windows_Laptop,Windows 10,Chrome,1366x768,en-ZA,2023-12-18,2025-11-07,35,False,False,HP,Latitude,74.210.188.36,Pretoria,Gauteng
DEV00000030,iPhone_Mobile,iOS 15,Edge,1170x2532,en-ZA,2023-01-08,2023-01-08,49,True,False,Apple,iPhone 13,202.16.28.231,Soweto,Gauteng
DEV00000031,Android_Mobile,Android 14,Chrome,1920x1080,en-ZA,2023-02-21,2023-02-21,62,False,False,Samsung,Galaxy S22,108.179.240.204,Polokwane,Limpopo
DEV00000032,Windows_Laptop,Windows 11,Chrome,1170x2532,en-ZA,2023-02-27,2023-03-15,75,False,False,Dell,Aspire,218.111.146.85,Stellenbosch,Western Cape
DEV00000033,iPhone_Mobile,iOS 17,Chrome,1170x2532,en-ZA,2022-11-22,2024-04-15,58,False,False,Apple,iPhone 12,80.56.39.127,Pietermaritzburg,KwaZulu-Natal
DEV00000034,Windows_Laptop,Windows 11,Chrome,1170x2532,en-ZA,2025-07-27,2025-10-25,49,False,False,HP,EliteBook,218.56.237.58,Paarl,Western Cape
DEV00000035,iPhone_Mobile,iOS 15,Firefox,1920x1080,xh,2025-01-05,2025-07-05,35,False,False,Apple,iPhone 12,109.192.50.101,Paarl,Western Cape
DEV00000036,Android_Mobile,Android 12,Chrome,1366x768,en-ZA,2025-12-28,2025-12-28,18,False,False,Samsung,Galaxy S22,183.56.255.32,Welkom,Free State
DEV00000037,Android_Mobile,Android 12,Safari,1440x900,en,2022-04-30,2022-04-30,34,False,False,Samsung,Galaxy A54,46.202.20.166,Witbank,Mpumalanga
DEV00000038,Android_Mobile,Android 14,Chrome,1080x2400,en-ZA,2024-05-25,2025-02-21,2,False,False,Samsung,Galaxy S22,193.39.243.125,Pietermaritzburg,KwaZulu-Natal
DEV00000039,MacBook_Laptop,macOS Sonoma,Safari,1440x900,en-ZA,2023-03-26,2024-04-17,82,False,False,Apple,MacBook Air,145.41.250.185,Pietermaritzburg,KwaZulu-Natal
DEV00000040,Android_Mobile,Android 14,Chrome,1440x900,en,2022-02-05,2022-02-05,81,False,False,Samsung,Galaxy A34,167.16.167.29,Welkom,Free State
